,latitude,longitude,minimum_nights,availability_365,neighbourhood_group_n,room_type_n
46812,40.68919,-73.92553,1,269,0,1
23818,40.6812,-73.91148,1,237,0,0
36673,40.71233,-73.93781,3,36,0,0
6306,40.64722,-74.00475,7,312,0,0
40461,40.61693,-74.03136,2,0,0,0
34877,40.70601,-73.92825,2,0,0,1
4022,40.70558,-74.01533,2,0,1,1
31375,40.65618,-73.95664,4,73,0,0
42471,40.71253,-73.99599,3,42,1,0
1352,40.86345,-73.92039,4,79,1,0
44230,40.70755,-74.01116,2,328,1,1
29067,40.71136,-73.94527,14,90,0,0
41825,40.67797,-73.99969,2,31,0,1
2747,40.80427,-73.95404,2,326,1,0
6880,40.71281,-73.9657,2,16,0,1
39694,40.67405,-73.95264,14,0,0,0
6536,40.67906,-73.96602,3,88,0,1
46093,40.85743,-73.90233,1,11,4,2
19563,40.68774,-73.8593,4,215,2,0
3563,40.81143,-73.94248,8,170,1,1
39161,40.72367,-73.98244,2,2,1,1
30567,40.81798,-73.93956,1,0,1,0
16795,40.75352,-73.96807,2,235,1,1
12925,40.73393,-73.9982,2,0,1,1
18933,40.79639,-73.9347,7,215,1,0
31106,40.7682,-73.95323,1,0,1,1
22549,40.83694,-73.94212,3,363,1,1
16788,40.71518,-73.98953,3,0,1,0
45879,40.74372,-74.00601,3,179,1,1
2209,40.68854,-73.95742,2,23,0,1
43984,40.73367,-74.00497,3,265,1,1
42995,40.76946,-73.87138,1,168,2,0
5288,40.71962,-73.98434,4,0,1,1
40500,40.70967,-73.95249,2,8,0,0
48632,40.81539,-73.84669,2,177,4,0
20575,40.70769,-73.94548,2,0,0,0
5160,40.6413,-73.98233,1,0,0,0
6334,40.69249,-73.97068,7,44,0,1
40333,40.85547,-73.92912,3,0,1,0
24673,40.77395,-73.98786,30,330,1,1
24011,40.70962,-73.80616,1,364,2,0
27272,40.69119,-73.94339,3,0,0,1
20789,40.69452,-73.92322,1,0,0,0
19135,40.75388,-73.97308,3,365,1,0
27605,40.67034,-73.92777,2,45,0,1
2338,40.67659,-74.01551,1,0,0,1
26897,40.70269,-73.81585,1,360,2,0
15510,40.76304,-73.99166,1,0,1,1
47468,40.80622,-73.93875,2,3,1,1
4580,40.64677,-73.96946,10,0,0,0
24146,40.74944,-73.99774,1,43,1,0
13496,40.74181,-73.90783,1,0,2,0
29680,40.81899,-73.94714,30,257,1,0
46914,40.82794,-73.90412,2,364,4,0
43471,40.74623,-73.88974,1,83,2,0
42560,40.71131,-73.95869,7,129,0,1
2124,40.72792,-73.98507,5,1,1,0
15956,40.78576,-73.94211,1,0,1,0
13023,40.8292,-73.94874,4,0,1,0
272,40.71702,-73.99811,14,14,1,1
30278,40.65465,-73.96158,2,56,0,1
27390,40.8556,-73.93245,4,2,1,0
20562,40.72528,-73.98854,3,0,1,0
28399,40.74113,-73.88769,1,27,2,2
29222,40.74077,-73.98718,1,364,1,0
19944,40.67302,-73.94815,3,12,0,0
1237,40.66119,-73.98822,10,44,0,0
38721,40.75971,-73.98551,30,266,1,1
22556,40.84062,-73.94125,1,0,1,1
3291,40.76876,-73.95979,1,0,1,1
24629,40.7602,-73.82324,30,320,2,1
47359,40.71722,-73.98388,1,58,1,0
35270,40.69164,-73.93431,3,105,0,1
1881,40.74372,-74.00021,7,330,1,1
23728,40.75528,-73.98312,4,155,1,0
47182,40.70762,-73.81453,1,326,2,1
30707,40.68271,-73.95141,30,341,0,1
28026,40.71211,-73.94058,1,153,0,1
9130,40.79229,-73.94962,2,0,1,0
40992,40.68439,-73.93753,2,146,0,0
11359,40.769,-73.9541,2,0,1,1
27422,40.63333,-74.08389,3,176,3,0
29537,40.70789,-74.0108,1,0,1,0
16012,40.7029,-73.9296,3,0,0,0
45438,40.70505,-73.91848,1,143,0,1
17235,40.64503,-73.96027,1,0,0,0
21541,40.72412,-73.97815,2,0,1,0
37098,40.78587,-73.97589,2,0,1,1
22829,40.68644,-73.91064,7,0,0,0
4032,40.81472,-73.94291,5,279,1,1
13988,40.83723,-73.94249,3,0,1,1
513,40.73712,-74.00166,30,359,1,0
10843,40.8272,-73.94137,1,0,1,0
24461,40.80832,-73.95275,2,129,1,0
43759,40.86202,-73.92771,2,180,1,0
16359,40.66954,-73.98226,30,117,0,1
21117,40.73702,-73.99739,1,0,1,0
16523,40.70238,-73.92812,1,0,0,0
32572,40.67845,-73.90852,7,0,0,0
1320,40.6772,-73.9506,7,365,0,0
38736,40.73003,-74.00215,30,163,1,1
21056,40.76468,-73.9868,30,0,1,1
33209,40.71997,-73.94021,30,343,0,2
41299,40.68061,-73.907,1,155,0,0
43635,40.70416,-73.98999,30,365,0,1
22655,40.75637,-73.81576,2,335,2,0
46099,40.72096,-73.95528,5,0,0,1
4599,40.71622,-73.93942,21,0,0,0
31855,40.77096,-73.95334,7,0,1,1
8125,40.79115,-73.94663,3,175,1,0
44695,40.74702,-73.95676,30,0,2,1
34159,40.527,-74.20941,1,353,3,0
844,40.68855,-73.95405,5,0,0,0
40609,40.71261,-73.99506,3,148,1,1
9527,40.69387,-73.96841,2,0,0,0
2390,40.68177,-73.9389,2,109,0,1
14203,40.82332,-73.94705,3,0,1,0
31525,40.70558,-74.00845,29,290,1,1
39414,40.73473,-73.95229,21,0,0,0
5390,40.71959,-73.94795,28,35,0,1
536,40.70275,-73.94501,1,59,0,0
5979,40.72627,-73.98303,4,269,1,1
14508,40.73117,-73.98386,3,0,1,1
6673,40.77613,-73.9462,10,0,1,1
22262,40.75656,-73.80385,1,0,2,0
25188,40.83758,-73.84382,2,129,4,1
38335,40.75403,-73.96714,28,250,1,1
42289,40.68343,-73.92746,2,280,0,1
20222,40.77572,-73.9339,5,0,2,1
5562,40.7653,-73.92661,4,311,2,0
45726,40.72721,-73.86589,1,134,2,0
32551,40.68616,-73.91866,3,0,0,0
3006,40.79692,-73.94434,1,355,1,0
28968,40.69613,-73.93264,5,0,0,1
27874,40.78558,-73.97703,2,362,1,0
12835,40.7412,-73.98171,4,0,1,1
25597,40.8255,-73.94119,3,0,1,0
34942,40.8358,-73.85833,2,0,4,2
47281,40.76847,-73.90852,1,89,2,0
20869,40.71753,-73.94946,2,0,0,0
3750,40.74344,-73.99826,2,0,1,1
23521,40.75448,-73.82295,1,0,2,0
41061,40.77388,-73.98798,30,329,1,1
36819,40.71962,-73.99682,3,9,1,1
13518,40.75939,-73.96949,1,0,1,1
44142,40.74904,-73.90188,1,3,2,0
4336,40.69924,-73.94057,7,0,0,0
9267,40.83621,-73.94646,3,144,1,0
37390,40.68277,-73.92012,3,283,0,1
5664,40.6883,-73.99132,2,0,0,1
47382,40.67511,-73.90836,2,53,0,1
8346,40.67699,-73.95179,1,0,0,1
22334,40.73481,-73.88051,3,0,2,0
33825,40.68862,-73.95572,30,365,0,0
21659,40.77367,-73.91517,3,82,2,0
25196,40.77841,-73.97968,7,0,1,1
22768,40.71188,-73.94387,5,20,0,0
22644,40.6838,-73.998,2,0,0,1
30591,40.74825,-73.98853,1,200,1,1
37996,40.70462,-74.00912,30,338,1,1
44877,40.79727,-73.96865,3,67,1,0
40314,40.73888,-73.92827,28,4,2,0
16987,40.74428,-73.90898,1,278,2,0
30147,40.8315,-73.92047,1,69,4,0
18481,40.65271,-73.97361,2,0,0,1
35100,40.70797,-74.0055,29,311,1,1
27011,40.76048,-73.94068,5,88,2,2
21853,40.71315,-73.943,1,0,0,1
5108,40.69437,-73.95841,5,0,0,0
5360,40.73385,-73.95418,1,10,0,1
30273,40.61204,-73.95501,2,0,0,0
34365,40.75424,-73.96312,30,364,1,1
6173,40.69414,-73.93467,5,83,0,0
42335,40.63238,-74.02382,1,83,0,0
12325,40.68644,-73.9857,2,0,0,1
26534,40.8258,-73.94405,3,2,1,1
8563,40.6746,-73.97901,30,70,0,1
41278,40.69665,-73.92714,1,89,0,0
41141,40.6463,-73.99953,13,34,0,0
28495,40.82394,-73.94432,30,0,1,0
24938,40.76626,-73.94058,1,321,2,0
6257,40.66289,-73.98176,5,0,0,0
24102,40.74444,-74.00068,3,0,1,1
23368,40.71592,-73.95666,3,0,0,0
29087,40.74761,-74.00584,5,0,1,1
31218,40.75265,-73.9684,4,0,1,1
7369,40.68969,-73.97797,30,311,0,1
48700,40.75988,-73.96591,5,298,1,1
38640,40.7318,-73.95307,1,364,0,1
35114,40.73641,-73.99929,2,0,1,1
25764,40.85927,-73.92966,3,0,1,0
46604,40.74216,-73.99363,1,210,1,1
32140,40.59644,-74.08279,4,340,3,0
21256,40.87924,-73.89791,3,63,4,1
44812,40.81892,-73.8859,2,27,4,0
48458,40.74907,-73.91892,5,42,2,1
528,40.7709,-73.99181,28,258,1,0
4576,40.79739,-73.96945,3,0,1,1
27102,40.85083,-73.93623,1,0,1,0
29970,40.65625,-73.91901,7,58,0,0
113,40.66853,-73.98912,30,192,0,1
14911,40.77727,-73.98355,1,0,1,1
31042,40.74346,-73.97827,2,0,1,1
33490,40.75819,-73.81977,1,0,2,0
1002,40.72057,-73.99976,3,231,1,1
13867,40.74398,-73.99664,1,0,1,2
28943,40.72504,-73.98327,12,0,1,1
25416,40.70644,-73.76072,1,71,2,1
38421,40.66199,-73.94135,1,119,0,0
43254,40.7651,-73.81749,1,156,2,1
29641,40.7,-73.91714,1,96,0,1
48546,40.63845,-73.94365,1,19,0,1
23964,40.79313,-73.94154,2,36,1,1
4770,40.70926,-73.94673,4,0,0,0
37833,40.67948,-73.99531,6,14,0,1
2641,40.76893,-73.95967,3,87,1,1
43486,40.75544,-73.96452,2,117,1,1
19298,40.61937,-74.03132,6,141,0,1
14416,40.74322,-73.99744,6,13,1,1
23751,40.77099,-73.95118,1,0,1,1
27676,40.6725,-73.94788,4,28,0,1
40809,40.8429,-73.93858,1,310,1,0
1572,40.71534,-73.94906,2,46,0,0
13693,40.80338,-73.95734,1,0,1,0
14538,40.70563,-74.00658,30,312,1,1
23761,40.6969,-73.92627,3,0,0,0
27262,40.72394,-73.99656,3,0,1,0
47250,40.74825,-73.98101,3,158,1,1
29203,40.76072,-73.96272,2,0,1,1
42812,40.71362,-73.95343,2,43,0,0
6125,40.77473,-73.94859,2,240,1,0
31269,40.7671,-73.98744,1,1,1,1
22951,40.71947,-73.98638,2,6,1,1
47861,40.75205,-73.97076,1,1,1,0
388,40.68448,-73.92747,4,283,0,1
5830,40.73539,-74.00818,2,276,1,1
46711,40.84274,-73.94219,1,179,1,0
16548,40.66741,-73.9522,12,0,0,0
22050,40.65252,-73.73425,1,0,2,0
41546,40.67414,-73.9662,2,63,0,0
19140,40.73506,-73.99203,2,0,1,1
20868,40.70509,-73.93322,1,0,0,0
46254,40.70483,-73.93426,5,43,0,0
2974,40.77084,-73.95811,1,278,1,0
28672,40.69368,-73.96244,2,0,0,1
29544,40.7394,-73.99964,3,364,1,0
16760,40.72523,-73.95218,5,0,0,0
20600,40.8228,-73.93956,2,198,1,0
44536,40.808,-73.96643,1,11,1,1
41083,40.67697,-74.00993,3,1,0,1
45286,40.8285,-73.94219,1,325,1,0
13586,40.80348,-73.9632,1,0,1,0
10881,40.72369,-73.98998,2,0,1,1
20099,40.67414,-73.96723,1,15,0,0
24374,40.78526,-73.97633,1,90,1,0
24534,40.6815,-73.98028,30,299,0,1
45178,40.75498,-73.83423,2,361,2,1
9531,40.72644,-73.85477,1,0,2,0
6300,40.68853,-73.9498,3,339,0,0
26170,40.76059,-73.92168,1,0,2,0
8594,40.7617,-73.99244,5,239,1,0
46277,40.66232,-73.95251,2,0,0,0
35710,40.76054,-73.96425,5,72,1,0
43840,40.70722,-73.89614,30,281,2,0
40596,40.64303,-74.014,1,155,0,0
36261,40.70417,-74.00928,1,195,1,0
27177,40.69242,-73.90441,30,141,0,0
21538,40.83243,-73.92035,1,239,4,0
8579,40.68517,-73.93473,1,345,0,0
1222,40.71423,-73.95305,4,23,0,0
35747,40.7442,-73.97355,29,311,1,1
1865,40.66229,-73.96296,1,188,0,0
36592,40.63853,-73.94869,3,116,0,1
42159,40.69348,-73.94757,18,27,0,2
42015,40.69504,-73.9264,2,9,0,0
15799,40.75735,-73.92134,3,345,2,1
40390,40.8476,-73.90594,1,0,4,0
25860,40.75607,-73.80964,7,365,2,1
20115,40.66459,-73.9905,4,0,0,1
11249,40.76302,-73.98833,3,46,1,1
18564,40.86316,-73.92627,1,363,1,2
10627,40.76211,-73.92894,1,364,2,0
31264,40.76385,-73.99219,2,0,1,1
2114,40.67501,-73.96651,2,329,0,0
41976,40.6697,-73.8954,7,247,0,0
28774,40.72184,-73.99452,14,0,1,0
34629,40.79917,-73.93716,3,3,1,0
42723,40.77424,-73.98827,30,274,1,1
18955,40.59304,-73.77339,30,313,2,0
24315,40.76746,-73.9223,2,0,2,0
28919,40.74197,-73.98328,30,177,1,1
11306,40.74433,-73.97769,2,256,1,0
20190,40.65221,-73.93634,5,0,0,0
2965,40.71316,-73.95648,7,0,0,1
13914,40.75009,-73.87578,1,337,2,0
44523,40.71786,-73.9979,30,35,1,0
11861,40.76416,-73.98807,2,181,1,1
38034,40.7034,-73.98544,3,332,0,1
18483,40.696,-73.92964,3,0,0,0
17685,40.68374,-73.95012,1,0,0,0
16971,40.74032,-74.00265,4,0,1,1
1396,40.66839,-73.96001,2,0,0,0
41228,40.76318,-73.99335,30,263,1,1
37334,40.67223,-73.93027,2,88,0,0
9611,40.7221,-74.00464,2,0,1,0
3215,40.82438,-73.94332,1,336,1,0
5790,40.70071,-73.92913,2,172,0,1
1479,40.74027,-73.98061,4,122,1,1
32178,40.75377,-73.96609,30,0,1,1
17809,40.69626,-73.97276,3,0,0,1
40274,40.70777,-74.00676,10,270,1,1
23839,40.70232,-73.92935,1,0,0,0
24828,40.81671,-73.94013,6,364,1,0
20616,40.75006,-73.97007,30,350,1,1
15297,40.6881,-73.96281,1,0,0,0
15365,40.72591,-73.98,2,0,1,1
10514,40.80115,-73.96043,1,0,1,0
29964,40.84697,-73.93776,1,0,1,2
21848,40.68326,-73.97796,6,42,0,1
21282,40.68438,-73.95299,2,80,0,1
6324,40.718,-73.95344,1,0,0,1
47142,40.8462,-73.93498,3,112,1,0
5461,40.76957,-73.91502,2,302,2,0
26349,40.7212,-73.98045,3,0,1,0
25690,40.66592,-73.94266,2,0,0,1
18668,40.71943,-73.94255,30,144,0,1
14840,40.6954,-73.96705,30,9,0,1
30296,40.67985,-73.91061,2,54,0,1
7866,40.83741,-73.93928,2,273,1,0
36712,40.75982,-73.98418,1,213,1,0
26181,40.76495,-73.9853,3,0,1,0
8117,40.77894,-73.98099,4,76,1,1
41700,40.66757,-73.99487,2,0,0,1
21467,40.73394,-74.00302,1,0,1,1
13046,40.63516,-74.07735,2,340,3,0
23496,40.70388,-73.88012,2,3,2,1
13322,40.74672,-73.97841,30,128,1,1
40618,40.75675,-73.88599,1,141,2,1
3044,40.7312,-73.98857,5,0,1,1
18587,40.74207,-73.9824,1,0,1,1
2311,40.71353,-73.96216,2,0,0,1
14306,40.83219,-73.94334,1,0,1,0
42038,40.75245,-73.88586,3,61,2,0
47097,40.71891,-74.00024,5,152,1,1
20475,40.6945,-73.96005,30,342,0,0
26951,40.69252,-73.99121,1,108,0,0
45596,40.85251,-73.83254,2,89,4,0
27654,40.68639,-73.93263,3,229,0,1
4368,40.80071,-73.9534,3,0,1,0
19498,40.67879,-73.97438,1,0,0,1
8733,40.87225,-73.88748,7,0,4,0
34353,40.75238,-73.96653,3,224,1,1
7486,40.70945,-73.95491,3,147,0,0
13182,40.68818,-73.93826,1,365,0,0
23020,40.67541,-73.93253,7,59,0,0
39014,40.76184,-73.91443,2,0,2,0
33378,40.74843,-73.98259,2,0,1,1
21671,40.78007,-73.94803,3,4,1,1
30907,40.71201,-73.96048,4,0,0,1
36525,40.78857,-73.97072,3,77,1,1
1382,40.7256,-73.97857,3,142,1,1
45357,40.65973,-73.96102,5,325,0,1
28680,40.71795,-73.95096,2,0,0,1
42967,40.85394,-73.89641,5,62,4,0
287,40.81322,-73.95306,6,189,1,1
6839,40.64132,-74.01767,30,312,0,0
47162,40.72685,-73.94433,30,104,0,1
6542,40.71181,-73.95736,30,295,0,1
13593,40.68025,-73.91199,2,215,0,1
48441,40.56506,-74.1024,1,341,3,0
6464,40.6536,-73.95811,2,0,0,0
45779,40.64501,-73.97859,7,22,0,0
385,40.76434,-73.92132,4,363,2,1
12653,40.73123,-74.00684,1,0,1,1
2161,40.7603,-73.91395,4,10,2,0
9676,40.70647,-73.92093,20,0,0,0
14078,40.76407,-73.98868,30,364,1,1
20078,40.59784,-74.08391,4,316,3,0
45239,40.63275,-74.02946,7,1,0,0
45562,40.75406,-73.96436,30,343,1,1
24856,40.74948,-73.97685,30,365,1,1
29607,40.72815,-73.99586,2,0,1,1
5068,40.65046,-74.00402,1,0,0,1
6705,40.70295,-73.91354,1,0,0,0
11741,40.7356,-73.99049,1,157,1,1
1189,40.69227,-73.90852,2,23,0,0
11197,40.60514,-74.07367,1,333,3,1
24194,40.69487,-73.93665,1,80,0,1
18669,40.80093,-73.9601,3,134,1,0
32583,40.83354,-73.94203,1,53,1,1
26064,40.81968,-73.95831,1,169,1,0
45142,40.67182,-73.95985,3,0,0,1
16446,40.7661,-73.99053,3,0,1,1
16150,40.6647,-73.98474,4,0,0,1
44043,40.73905,-73.98225,30,338,1,1
44175,40.70724,-74.01085,2,325,1,1
37527,40.72546,-73.98396,1,268,1,1
20642,40.74786,-73.99652,1,359,1,0
22310,40.85311,-73.88763,4,0,4,0
33122,40.68725,-73.91623,3,309,0,1
11723,40.69824,-73.93231,1,0,0,0
7488,40.72566,-73.98032,2,18,1,0
5308,40.77478,-73.91913,1,308,2,0
407,40.71823,-73.95849,10,52,0,1
10741,40.82137,-73.94769,2,188,1,0
28634,40.76403,-73.90612,2,307,2,1
41734,40.77914,-73.95049,30,50,1,1
31839,40.7645,-73.9238,30,5,2,1
17974,40.76126,-73.99117,1,0,1,0
48721,40.73149,-73.95041,8,10,0,1
47590,40.69069,-73.9298,3,235,0,1
4299,40.79193,-73.97443,30,90,1,1
30640,40.70753,-74.00514,29,338,1,1
40096,40.68695,-73.84101,2,344,2,1
46248,40.81024,-73.94362,2,18,1,1
48193,40.70795,-73.92039,1,188,0,1
14598,40.7339,-73.98523,1,0,1,0
36113,40.65429,-73.93601,30,306,0,0
42173,40.76604,-73.93108,2,309,2,1
26461,40.77478,-73.97986,30,0,1,1
31006,40.75605,-73.99541,3,32,1,0
44866,40.8299,-73.94361,7,30,1,0
14339,40.69823,-73.9431,7,0,0,0
409,40.68626,-73.97598,3,286,0,1
7778,40.64567,-74.08368,4,17,3,1
12511,40.68534,-73.95533,4,0,0,0
27263,40.74607,-73.98547,2,0,1,1
21586,40.70206,-73.98804,1,0,0,1
41306,40.70771,-73.94627,10,3,0,0
25934,40.73365,-73.95354,2,0,0,0
33637,40.72878,-73.95823,3,0,0,1
45806,40.76805,-73.94929,1,83,1,1
4366,40.6955,-73.86281,3,189,2,0
5354,40.76908,-73.98483,30,365,1,1
13440,40.714,-73.96395,3,104,0,1
43790,40.67435,-73.9891,1,1,0,0
11289,40.73138,-73.99002,1,0,1,1
26028,40.80605,-73.94889,5,16,1,1
15088,40.69305,-73.90825,2,364,0,0
11077,40.68498,-73.97856,1,4,0,0
36815,40.66811,-73.99451,5,45,0,1
7188,40.70573,-74.00855,1,0,1,2
31845,40.67334,-73.93269,5,0,0,0
5675,40.63268,-73.96059,2,312,0,0
4981,40.80612,-73.95678,4,0,1,1
29371,40.58195,-73.95789,1,193,0,0
44056,40.8716,-73.89177,2,48,4,1
15958,40.69968,-73.92645,7,137,0,1
38489,40.77262,-73.9501,4,0,1,1
22315,40.81053,-73.94332,2,14,1,1
