latitude,longitude,room_type,minimum_nights,availability_365,price
40.80012,-73.96441,0.0,1.0,0.0,50
40.67651,-73.95877,0.0,6.0,0.0,40
40.64434,-73.95288,0.0,3.0,311.0,50
40.6724,-73.88839,0.0,3.0,80.0,300
40.80741,-73.96658,1.0,13.0,0.0,150
40.72246,-73.98006,0.0,14.0,0.0,45
40.71109,-74.01537,1.0,30.0,281.0,149
40.72098,-73.94639,0.0,1.0,0.0,158
40.82847,-73.93701,1.0,7.0,24.0,90
40.79874,-73.96034,1.0,3.0,0.0,130
40.7111,-73.98865,2.0,14.0,341.0,32
40.75948,-73.8341,0.0,1.0,75.0,75
40.82263,-73.95181,1.0,3.0,150.0,2500
40.74698,-73.97218,0.0,1.0,363.0,205
40.71332,-74.00643,1.0,2.0,89.0,300
40.71801,-73.95244,0.0,1.0,249.0,43
40.84994,-73.9066,1.0,3.0,358.0,148
40.69169,-73.93142,1.0,4.0,340.0,130
40.73822,-74.00606,1.0,2.0,0.0,275
40.78592,-73.97447,1.0,1.0,175.0,105
40.73678,-73.92437,0.0,7.0,0.0,55
40.82008,-73.95523,1.0,5.0,34.0,120
40.68636,-73.91331,0.0,3.0,26.0,150
40.72059,-73.98514,1.0,3.0,235.0,170
40.75243,-73.89553,0.0,1.0,30.0,59
40.63747,-74.01153,0.0,3.0,281.0,52
40.67844,-74.01058,1.0,2.0,193.0,120
40.81717,-73.93918,1.0,2.0,0.0,70
40.69295,-73.90851,0.0,30.0,325.0,50
40.72957,-73.98723,0.0,2.0,41.0,85
40.683,-73.92346,1.0,7.0,5.0,149
40.72746,-73.99288,1.0,6.0,0.0,150
40.71275,-73.96049,0.0,2.0,0.0,50
40.673,-73.98076,0.0,20.0,365.0,120
40.74921,-73.97395,1.0,2.0,81.0,308
40.8683,-73.92161,1.0,2.0,365.0,349
40.75859,-73.99195,0.0,3.0,17.0,39
40.75287,-73.96708,1.0,1.0,0.0,230
40.66801,-73.98773,0.0,1.0,269.0,89
40.78899,-73.94727,1.0,14.0,3.0,99
40.69918,-73.94513,0.0,2.0,153.0,60
40.63333,-74.08389,0.0,3.0,176.0,30
40.74436,-73.97321,1.0,30.0,274.0,175
40.82546,-73.95292,1.0,10.0,6.0,90
40.6929,-73.86378,0.0,1.0,273.0,50
40.85911,-73.93087,0.0,2.0,29.0,50
40.72555,-73.94846,0.0,3.0,0.0,50
40.70883,-74.00764,2.0,10.0,0.0,100
40.58019,-73.95403,1.0,1.0,350.0,99
40.72131,-73.99487,1.0,3.0,0.0,119
40.66634,-73.97806,1.0,4.0,170.0,165
40.66242,-73.99464,1.0,1.0,4.0,10
40.7258,-73.86715,0.0,1.0,127.0,70
40.70433,-74.00706,1.0,2.0,0.0,150
40.74975,-73.97699,1.0,30.0,0.0,185
40.71813,-73.95981,1.0,2.0,147.0,212
40.75372,-73.99332,2.0,1.0,365.0,99
40.76283,-73.99331,0.0,2.0,3.0,115
40.69807,-73.90614,0.0,21.0,0.0,40
40.72493,-74.00307,1.0,3.0,44.0,235
40.73744,-73.87247,1.0,30.0,242.0,165
40.68003,-73.99039,1.0,2.0,0.0,192
40.67673,-73.95311,1.0,3.0,244.0,171
40.7655,-73.98308,1.0,30.0,352.0,239
40.68753,-73.93656,1.0,5.0,0.0,175
40.77975,-73.94977,0.0,1.0,319.0,80
40.61238,-73.99805,1.0,3.0,61.0,100
40.79939,-73.96752,0.0,7.0,0.0,70
40.73958,-73.98258,1.0,2.0,0.0,195
40.79857,-73.96162,1.0,30.0,161.0,110
40.69305,-73.93748,1.0,2.0,365.0,275
40.6585,-73.98397,0.0,2.0,272.0,135
40.82268,-73.953,0.0,2.0,157.0,54
40.74588,-73.95377,1.0,5.0,0.0,90
40.83123,-73.82784,0.0,1.0,180.0,60
40.64644,-73.9756,1.0,1.0,0.0,95
40.72653,-73.97949,0.0,1.0,188.0,100
40.66156,-73.99318,1.0,2.0,2.0,73
40.71339,-73.93896,1.0,2.0,272.0,160
40.71239,-73.95037,1.0,3.0,66.0,100
40.81165,-73.95639,0.0,9.0,0.0,60
40.75224,-73.99487,0.0,3.0,27.0,76
40.7952,-73.9624,0.0,1.0,246.0,99
40.84411,-73.93764,0.0,2.0,0.0,45
40.72046,-74.00151,1.0,4.0,90.0,950
40.86352,-73.90503,0.0,30.0,365.0,80
40.77843,-73.95191,1.0,2.0,0.0,175
40.72597,-73.97645,0.0,1.0,15.0,85
40.70617,-73.93761,2.0,1.0,75.0,40
40.68731,-73.9478,0.0,1.0,0.0,60
40.68417,-73.92726,1.0,2.0,171.0,160
40.72179,-73.9447,0.0,1.0,1.0,61
40.70118,-73.92176,1.0,2.0,53.0,90
40.7102,-73.96024,1.0,2.0,0.0,300
40.66214,-73.99511,1.0,1.0,133.0,172
40.74372,-74.00601,1.0,3.0,179.0,447
40.82818,-73.9389,0.0,4.0,52.0,39
40.78614,-73.95541,0.0,10.0,0.0,50
40.75239,-73.89021,0.0,3.0,0.0,45
40.66734,-73.99383,1.0,2.0,35.0,135
40.69095,-73.93444,1.0,31.0,178.0,125
40.86517,-73.92995,0.0,3.0,216.0,95
40.81232,-73.95849,0.0,3.0,0.0,85
40.65554,-73.9499,0.0,3.0,43.0,45
40.7467,-73.83456,0.0,1.0,151.0,53
40.70205,-73.91338,1.0,2.0,89.0,150
40.76404,-73.91174,0.0,4.0,324.0,75
40.71174,-73.94353,0.0,1.0,0.0,100
40.75455,-73.92006,0.0,30.0,92.0,80
40.59658,-73.95944,2.0,7.0,311.0,50
40.72876,-73.98655,1.0,7.0,56.0,187
40.72439,-73.97767,0.0,7.0,0.0,100
40.82232,-73.95696,0.0,1.0,280.0,60
40.71033,-73.95868,0.0,1.0,0.0,59
40.62918,-73.96348,1.0,3.0,0.0,100
40.81748,-73.94484,1.0,5.0,113.0,150
40.715,-73.95018,1.0,10.0,0.0,80
40.7179,-73.96047,1.0,1.0,0.0,105
40.86945,-73.92123,1.0,30.0,8.0,106
40.76097,-74.00026,1.0,1.0,9.0,135
40.6732,-73.9553,0.0,2.0,98.0,65
40.74382,-74.00463,1.0,30.0,233.0,250
40.78385,-73.94828,0.0,2.0,351.0,420
40.7089,-73.94447,0.0,2.0,342.0,86
40.6726,-73.9514,1.0,3.0,0.0,100
40.74766,-73.88598,2.0,62.0,0.0,35
40.72479,-73.98849,1.0,2.0,0.0,225
40.70789,-73.74073,1.0,3.0,63.0,75
40.73352,-73.98777,0.0,1.0,0.0,103
40.68582,-73.92926,0.0,1.0,239.0,49
40.70743,-73.96786,1.0,2.0,0.0,150
40.69416,-73.95117,0.0,1.0,0.0,50
40.72801,-73.98336,1.0,3.0,0.0,250
40.76834,-73.92093,0.0,1.0,0.0,55
40.70719,-73.89632,0.0,14.0,332.0,75
40.73223,-73.98658,1.0,30.0,332.0,253
40.65989,-73.95386,1.0,2.0,0.0,99
40.70252,-73.91943,1.0,4.0,0.0,99
40.81676,-73.96069,0.0,3.0,0.0,100
40.78752,-73.94314,0.0,4.0,0.0,65
40.77664,-73.95481,1.0,1.0,346.0,349
40.71688,-73.94584,1.0,2.0,223.0,250
40.82377,-73.94981,0.0,4.0,10.0,65
40.68353,-73.93566,1.0,3.0,357.0,450
40.84709,-73.93525,0.0,10.0,229.0,65
40.71504,-73.98072,1.0,1.0,0.0,250
40.66264,-73.99174,1.0,4.0,12.0,275
40.70146,-73.91763,0.0,7.0,0.0,55
40.80355,-73.96831,1.0,7.0,0.0,110
40.73515,-73.95645,1.0,5.0,0.0,154
40.71028,-73.96128,0.0,2.0,365.0,75
40.80153,-73.9655,1.0,5.0,74.0,150
40.7326,-74.00824,1.0,3.0,0.0,180
40.65281,-73.96581,0.0,2.0,27.0,59
40.72555,-73.98198,1.0,1.0,84.0,145
40.76488,-73.98597,1.0,14.0,34.0,155
40.67984,-73.84403,1.0,1.0,356.0,120
40.72646,-73.95341,0.0,3.0,15.0,59
40.61336,-73.9857,0.0,3.0,79.0,35
40.80389,-73.95443,1.0,5.0,0.0,113
40.74324,-73.99586,0.0,1.0,172.0,115
40.68785,-73.99181,1.0,3.0,0.0,145
40.73922,-73.98886,1.0,14.0,0.0,115
40.7429,-73.99428,1.0,29.0,311.0,232
40.6811,-73.94541,1.0,30.0,269.0,65
40.71435,-73.95073,1.0,3.0,0.0,200
40.76181,-73.98757,1.0,2.0,0.0,160
40.71493,-73.94502,0.0,1.0,0.0,120
40.70666,-73.96526,1.0,3.0,0.0,210
40.74632,-73.89382,1.0,1.0,75.0,179
40.72318,-73.85621,1.0,14.0,7.0,40
40.64372,-73.95969,1.0,3.0,0.0,120
40.72485,-74.00254,1.0,1.0,0.0,185
40.63136,-73.90921,1.0,1.0,360.0,125
40.80403,-73.95615,1.0,2.0,0.0,200
40.6918,-73.95151,1.0,4.0,0.0,200
40.73016,-73.98171,1.0,9.0,0.0,178
40.83044,-73.94839,0.0,3.0,0.0,33
40.79056,-73.97306,1.0,30.0,36.0,150
40.85884,-73.93356,1.0,5.0,0.0,100
40.75249,-73.9689,1.0,3.0,5.0,140
40.70326,-73.91822,0.0,30.0,203.0,50
40.829,-73.94803,0.0,1.0,0.0,50
40.69432,-73.92035,0.0,4.0,179.0,199
40.72833,-73.94781,1.0,3.0,0.0,350
40.75668,-73.99097,0.0,1.0,0.0,120
40.68016,-73.91054,1.0,3.0,28.0,68
40.68843,-73.96239,1.0,2.0,314.0,155
40.74143,-73.99469,1.0,30.0,323.0,343
40.72777,-73.98545,1.0,1.0,0.0,195
40.73015,-73.98447,1.0,3.0,5.0,350
40.71883,-73.99716,1.0,2.0,0.0,220
40.76269,-73.98928,1.0,2.0,29.0,190
40.74742,-73.9775,1.0,3.0,0.0,199
40.76511,-73.98345,1.0,30.0,352.0,239
40.75228,-73.88699,0.0,1.0,0.0,42
40.72149,-73.99815,1.0,3.0,0.0,900
40.76258,-73.96252,0.0,1.0,51.0,150
40.74052,-73.98188,1.0,3.0,263.0,450
40.8101,-73.94021,0.0,2.0,208.0,88
40.82321,-73.95662,0.0,2.0,0.0,37
40.63524,-73.96602,1.0,30.0,47.0,115
40.83515,-73.94226,0.0,2.0,20.0,50
40.74836,-73.9807,2.0,2.0,220.0,800
40.80756,-73.94855,1.0,60.0,227.0,145
40.6969,-73.9114,0.0,2.0,0.0,52
40.72674,-73.9782,0.0,7.0,359.0,95
40.73127,-73.99939,1.0,1.0,0.0,220
40.72999,-73.98764,0.0,1.0,0.0,180
40.83723,-73.94249,1.0,3.0,0.0,70
40.69707,-73.93201,0.0,1.0,60.0,50
40.71243,-73.95655,0.0,1.0,0.0,60
40.71683,-74.00574,0.0,1.0,66.0,225
40.70962,-73.80616,0.0,1.0,364.0,70
40.77799,-73.95223,0.0,1.0,0.0,80
40.72644,-73.98403,1.0,5.0,0.0,175
40.68855,-73.97282,1.0,3.0,15.0,150
40.69015,-73.99098,1.0,3.0,5.0,140
40.67783,-73.94209,0.0,1.0,0.0,65
40.71629,-73.98862,0.0,4.0,191.0,99
40.83827,-73.93976,0.0,2.0,0.0,50
40.6838,-73.998,1.0,2.0,0.0,250
40.68917,-73.94937,0.0,2.0,0.0,49
40.67905,-73.95422,0.0,7.0,0.0,42
40.725,-73.97903,1.0,3.0,0.0,320
40.7822,-73.95101,0.0,1.0,0.0,55
40.75698,-73.91362,0.0,3.0,71.0,65
40.57751,-73.98521,2.0,2.0,0.0,50
40.68933,-73.96082,0.0,3.0,189.0,45
40.64027,-74.01774,0.0,1.0,8.0,49
40.83428,-73.94446,0.0,1.0,0.0,60
40.71329,-73.9653,1.0,6.0,22.0,345
40.73226,-74.00184,1.0,6.0,0.0,175
40.73168,-73.98662,1.0,30.0,314.0,139
40.70652,-73.91784,2.0,4.0,62.0,25
40.72635,-73.97595,1.0,1.0,157.0,290
40.8235,-73.94619,1.0,2.0,1.0,100
40.65685,-73.95287,0.0,1.0,0.0,90
40.69267,-73.80159,1.0,1.0,82.0,340
40.70572,-73.94501,0.0,2.0,83.0,90
40.8041,-73.95252,0.0,1.0,68.0,150
40.72219,-73.73605,1.0,2.0,14.0,85
40.54878,-74.13908,1.0,30.0,129.0,75
40.76988,-73.9211,1.0,6.0,0.0,165
40.68234,-73.98223,1.0,4.0,55.0,150
40.74858,-73.99887,1.0,1.0,0.0,240
40.72684,-73.94002,1.0,4.0,0.0,109
40.83077,-73.94847,1.0,2.0,5.0,89
40.67313,-73.96536,0.0,1.0,129.0,90
40.66372,-73.88285,1.0,2.0,151.0,75
40.77715,-73.98235,1.0,1.0,0.0,260
40.78162,-73.9753,1.0,1.0,195.0,175
40.7388,-73.92282,0.0,2.0,347.0,65
40.7823,-73.98081,0.0,1.0,0.0,84
40.67811,-73.97126,0.0,1.0,290.0,85
40.80113,-73.94283,0.0,2.0,0.0,100
40.77003,-73.95018,1.0,20.0,337.0,199
40.72182,-74.00255,1.0,2.0,360.0,450
40.81208,-73.94243,0.0,2.0,364.0,205
40.6954,-73.96705,1.0,30.0,9.0,200
40.73612,-73.87822,0.0,3.0,0.0,55
40.73727,-74.00213,1.0,5.0,365.0,700
40.76288,-73.96084,1.0,3.0,0.0,130
40.7848,-73.95687,0.0,3.0,131.0,42
40.72822,-74.00429,0.0,3.0,276.0,80
40.76106,-73.9078,1.0,1.0,96.0,95
40.69538,-73.92501,0.0,20.0,0.0,59
40.76017,-73.98509,1.0,30.0,362.0,325
40.58788,-73.94955,0.0,180.0,155.0,50
40.75188,-73.94548,0.0,3.0,24.0,95
40.77927,-73.97649,0.0,28.0,166.0,100
40.733,-73.95309,0.0,1.0,180.0,119
40.72381,-73.97896,0.0,26.0,129.0,75
40.61595,-74.08535,2.0,2.0,312.0,150
40.70632,-73.94978,1.0,3.0,0.0,102
40.72863,-74.00137,1.0,4.0,259.0,200
40.73069,-73.98515,1.0,3.0,99.0,150
40.66326,-73.98805,0.0,1.0,24.0,89
40.6961,-73.9307,0.0,3.0,178.0,64
40.76449,-73.9934,1.0,3.0,0.0,175
40.67786,-73.97029,1.0,2.0,0.0,110
40.81759,-73.94385,1.0,5.0,0.0,150
40.77636,-73.98937,1.0,1.0,0.0,250
40.74449,-73.99445,1.0,3.0,323.0,275
40.67696,-73.96669,1.0,2.0,146.0,165
40.68293,-73.98979,0.0,30.0,311.0,95
40.7062,-73.94237,0.0,30.0,318.0,72
40.71368,-73.94478,1.0,3.0,0.0,160
40.7415,-73.98354,1.0,7.0,0.0,139
40.71292,-73.99819,0.0,2.0,89.0,165
40.72509,-73.89687,1.0,4.0,157.0,200
40.7355,-73.88131,1.0,7.0,0.0,115
40.67681,-73.97911,1.0,2.0,0.0,170
40.69258,-73.92528,0.0,2.0,280.0,125
40.70864,-73.90034,0.0,1.0,165.0,55
40.67989,-73.91817,1.0,2.0,160.0,325
40.69485,-73.93866,0.0,5.0,28.0,48
40.76431,-73.9891,0.0,1.0,174.0,99
40.6431,-73.99175,2.0,5.0,365.0,30
40.73372,-73.99834,1.0,3.0,18.0,225
40.69207,-73.97407,0.0,14.0,128.0,70
40.71928,-73.94539,1.0,3.0,335.0,280
40.69197,-73.92795,0.0,4.0,249.0,75
40.77112,-73.98964,1.0,31.0,103.0,1000
40.72124,-73.9801,1.0,4.0,168.0,805
40.80046,-73.94239,2.0,1.0,64.0,65
40.71179,-73.95565,1.0,2.0,0.0,110
40.77076,-73.98671,1.0,30.0,181.0,190
40.75492,-73.99563,0.0,7.0,329.0,80
40.77824,-73.98255,0.0,1.0,49.0,129
40.71951,-73.95277,1.0,2.0,0.0,175
40.84063,-73.93928,0.0,1.0,13.0,55
40.71229,-73.95592,0.0,25.0,0.0,70
40.72293,-73.98918,1.0,4.0,109.0,200
40.6846,-73.98454,1.0,3.0,0.0,158
40.63481,-74.09591,1.0,7.0,326.0,99
40.74525,-73.99229,0.0,1.0,0.0,100
40.65429,-73.73432,0.0,30.0,90.0,45
40.71159,-73.99884,0.0,1.0,0.0,119
40.68392,-73.91324,1.0,2.0,336.0,159
40.68863,-73.97691,0.0,2.0,0.0,65
40.76703,-73.95957,1.0,3.0,188.0,200
40.68988,-73.95936,1.0,1.0,342.0,282
40.7976,-73.93947,0.0,7.0,22.0,50
40.75669,-73.96411,0.0,1.0,0.0,90
40.74829,-73.98715,0.0,1.0,287.0,100
40.66586,-73.97948,1.0,1.0,1.0,100
40.71228,-73.93782,0.0,2.0,0.0,72
40.75616,-73.99408,1.0,10.0,174.0,132
40.69165,-73.943,0.0,1.0,189.0,50
40.74286,-73.9768,0.0,12.0,41.0,78
40.8709,-73.89946,2.0,2.0,365.0,60
40.79826,-73.96113,0.0,2.0,333.0,85
40.78414,-73.9783,1.0,1.0,0.0,75
40.71145,-73.95302,0.0,2.0,0.0,78
40.72764,-73.95557,1.0,5.0,0.0,225
40.75335,-73.99525,1.0,3.0,2.0,180
40.81246,-73.94506,1.0,30.0,224.0,250
40.83454,-73.92751,0.0,1.0,180.0,10
40.80593,-73.9583,0.0,2.0,202.0,70
40.79943,-73.94386,1.0,2.0,3.0,89
40.80864,-73.95913,0.0,4.0,0.0,65
40.71327,-73.98866,1.0,1.0,159.0,160
40.69178,-73.9369,0.0,3.0,0.0,23
40.67617,-73.95536,1.0,2.0,0.0,200
40.68041,-73.93612,1.0,3.0,224.0,100
40.76436,-73.98779,0.0,1.0,321.0,120
40.72713,-73.84946,1.0,1.0,0.0,100
40.7363,-73.86316,0.0,1.0,337.0,36
40.78829,-73.97053,1.0,6.0,0.0,230
40.72396,-73.99445,1.0,2.0,0.0,99
40.70793,-73.89528,0.0,4.0,157.0,37
40.70796,-74.00288,0.0,1.0,365.0,270
40.7157,-73.96011,0.0,1.0,0.0,49
40.76976,-73.95208,0.0,3.0,203.0,110
40.74071,-73.86498,0.0,16.0,110.0,36
40.69444,-73.93746,0.0,2.0,0.0,47
40.62955,-74.02429,0.0,6.0,62.0,40
40.68068,-73.98186,1.0,5.0,0.0,63
40.76292,-73.99551,1.0,5.0,0.0,140
40.64111,-73.97345,0.0,2.0,0.0,50
40.64296,-73.95238,1.0,2.0,64.0,125
40.71773,-73.99812,0.0,1.0,323.0,100
40.69998,-73.94369,0.0,1.0,0.0,50
40.68475,-73.90918,1.0,2.0,153.0,60
40.7502,-73.98289,1.0,30.0,332.0,155
40.71577,-73.94084,0.0,1.0,0.0,95
40.82411,-73.95441,0.0,8.0,270.0,47
40.62477,-73.95517,0.0,1.0,330.0,100
40.68827,-73.96583,0.0,20.0,0.0,70
40.6948,-73.92253,0.0,2.0,3.0,75
40.75775,-73.97956,1.0,7.0,85.0,300
40.73106,-73.98467,1.0,3.0,0.0,120
40.74645,-73.9853,1.0,4.0,0.0,239
40.72003,-73.98646,0.0,3.0,333.0,200
40.82345,-73.9033,1.0,1.0,104.0,89
40.77673,-73.95525,0.0,2.0,0.0,143
40.74644,-73.94479,0.0,4.0,0.0,70
40.66883,-73.98099,0.0,3.0,0.0,50
40.68232,-73.96043,2.0,4.0,0.0,50
40.67698,-73.94414,0.0,2.0,78.0,99
40.70148,-73.88954,0.0,2.0,254.0,25
40.62848,-74.03077,0.0,4.0,175.0,79
40.68701,-73.96174,1.0,3.0,0.0,140
40.72904,-73.94885,0.0,5.0,0.0,50
40.73559,-73.99959,1.0,2.0,118.0,299
40.74506,-73.99935,1.0,30.0,0.0,154
40.67689,-73.95079,0.0,3.0,0.0,30
40.7221,-73.98304,1.0,5.0,0.0,117
40.74852,-73.97521,1.0,3.0,248.0,210
40.69607,-73.79842,0.0,3.0,0.0,45
40.70732,-74.01451,0.0,2.0,95.0,105
40.70269,-73.92833,0.0,7.0,10.0,45
40.66738,-73.93669,2.0,2.0,167.0,25
40.79524,-73.93429,1.0,1.0,356.0,150
40.63213,-73.94559,0.0,2.0,61.0,175
40.78726,-73.96867,1.0,3.0,4.0,170
40.64487,-73.90081,0.0,2.0,365.0,59
40.81312,-73.95364,0.0,1.0,365.0,65
40.84243,-73.93693,0.0,1.0,0.0,50
40.69455,-73.93445,0.0,4.0,5.0,34
40.72652,-73.98966,1.0,2.0,38.0,250
40.63966,-73.9716,0.0,1.0,0.0,52
40.69119,-73.99438,1.0,2.0,0.0,300
40.73888,-73.99782,1.0,30.0,218.0,287
40.67659,-73.95608,1.0,2.0,16.0,88
40.77679,-73.91687,1.0,28.0,313.0,75
40.6654,-73.93653,0.0,1.0,0.0,75
40.83502,-73.91058,0.0,2.0,364.0,125
40.57795,-73.9616,0.0,2.0,71.0,50
40.85336,-73.88549,0.0,3.0,46.0,65
40.67855,-73.94949,1.0,3.0,308.0,80
40.58496,-73.95739,1.0,3.0,360.0,250
40.76021,-73.99976,1.0,1.0,133.0,305
40.68794,-73.97393,1.0,3.0,0.0,150
40.73447,-74.00266,1.0,1.0,0.0,599
40.76672,-73.92769,0.0,4.0,93.0,95
40.72737,-73.97789,1.0,3.0,34.0,110
40.76017,-73.99198,1.0,4.0,0.0,200
40.72744,-73.81005,0.0,2.0,0.0,75
40.65504,-73.96113,0.0,3.0,50.0,70
40.70282,-73.94287,0.0,1.0,0.0,60
40.8337,-73.9458,0.0,10.0,44.0,33
40.71983,-73.95675,1.0,2.0,230.0,195
40.79958,-73.96403,0.0,1.0,0.0,50
40.70184,-73.93317,0.0,4.0,36.0,40
40.71614,-73.96134,0.0,2.0,13.0,80
40.68567,-73.93123,0.0,30.0,358.0,42
40.77631,-73.95289,1.0,1.0,351.0,121
40.75705,-73.90697,1.0,4.0,2.0,69
40.61603,-74.08666,1.0,1.0,300.0,65
40.75518,-73.9143,1.0,5.0,0.0,150
40.69033,-73.98994,1.0,3.0,194.0,130
40.68956,-73.9589,0.0,3.0,0.0,60
40.70212,-73.9851,1.0,3.0,0.0,245
40.76275,-73.98429,0.0,1.0,201.0,100
40.74366,-73.98607,0.0,1.0,361.0,250
40.7078,-73.94619,1.0,1.0,36.0,135
