neighbourhood_group,latitude,longitude,room_type,minimum_nights,availability_365,price
0,40.67542,-73.98142,1,30,189,165
0,40.73842,-73.95312,0,3,60,249
0,40.6926,-73.99832,0,3,0,100
0,40.69441,-73.99771,1,3,106,200
1,40.72399,-73.98374,1,4,276,169
0,40.6824,-73.94615,1,3,248,185
0,40.68949,-73.91708,1,2,194,65
0,40.68819,-73.97258,1,35,135,130
0,40.7205,-73.96015,1,30,30,199
1,40.72451,-73.98094,1,2,0,225
0,40.73813,-73.95394,0,3,81,179
0,40.67591,-73.94715,1,5,0,150
1,40.72843,-73.98895,1,1,142,139
1,40.71271,-73.99776,0,3,60,95
0,40.66966,-73.94735,1,15,179,79
1,40.71965,-73.98766,1,2,52,150
0,40.68613,-73.96536,1,5,365,650
0,40.68048,-73.94911,1,3,324,90
0,40.68314,-73.93963,1,2,237,120
2,40.75961,-73.91117,0,1,365,80
0,40.67473,-73.94494,1,90,365,100
0,40.69305,-73.93185,1,2,204,175
0,40.67174,-73.95663,1,5,272,120
0,40.71055,-73.95098,1,7,0,140
0,40.69465,-73.95458,1,5,9,200
0,40.68413,-73.96542,0,4,365,165
1,40.73877,-73.97707,1,4,181,125
1,40.74893,-73.99544,1,30,189,130
1,40.79406,-73.94102,2,7,0,65
0,40.68795,-73.97332,1,30,189,123
1,40.85295,-73.93361,0,2,296,67
2,40.72413,-73.76133,0,1,88,50
0,40.66918,-73.99187,1,7,35,130
0,40.71125,-73.95613,0,3,0,100
1,40.78558,-73.9696,1,21,35,212
0,40.71577,-73.96053,1,3,359,190
0,40.73861,-73.95485,0,3,60,599
1,40.72577,-73.98745,1,5,365,249
2,40.58615,-73.81245,0,27,335,70
0,40.67086,-73.94872,1,30,282,100
1,40.82773,-73.95231,0,3,247,60
0,40.68505,-73.95684,1,2,102,135
0,40.72911,-73.95493,1,3,274,175
1,40.77944,-73.98567,1,5,201,120
1,40.74503,-73.98876,1,18,98,169
0,40.67539,-73.96093,1,7,157,165
1,40.8054,-73.95189,0,1,0,90
1,40.78491,-73.9508,1,2,312,225
0,40.69088,-73.97307,0,2,331,95
0,40.67555,-73.95057,0,2,275,55
1,40.75835,-73.99193,0,10,174,85
0,40.66527,-73.9886,1,14,223,199
1,40.71895,-73.99434,1,1,361,211
1,40.75579,-73.96699,1,6,0,145
1,40.82399,-73.95328,0,14,283,65
1,40.81822,-73.94095,1,1,220,99
2,40.76434,-73.92132,1,4,363,110
0,40.67705,-73.94925,1,3,315,80
0,40.69263,-73.99438,1,30,281,150
0,40.68448,-73.92747,1,4,283,110
1,40.74412,-74.00208,0,2,20,290
1,40.73067,-73.98702,0,2,0,87
0,40.70665,-73.94061,1,4,331,190
0,40.72063,-73.95952,1,2,36,200
0,40.67644,-73.98082,1,2,7,165
1,40.80481,-73.94794,1,2,301,110
1,40.72533,-73.99143,1,2,170,395
0,40.68569,-73.93038,0,2,307,99
0,40.64302,-73.97255,0,1,365,39
1,40.72939,-73.98857,1,2,201,189
1,40.79918,-73.96607,0,1,0,85
0,40.66862,-73.9926,1,30,316,260
1,40.81333,-73.94453,1,1,271,122
0,40.72473,-73.95199,1,2,139,165
2,40.70925,-73.85262,1,3,209,97
1,40.73215,-74.00922,1,4,0,170
0,40.71109,-73.94332,1,2,0,125
1,40.7463,-73.97926,0,4,193,130
0,40.71823,-73.95849,1,10,52,225
0,40.651,-73.94886,0,2,136,50
0,40.68626,-73.97598,1,3,286,170
1,40.74488,-74.001,1,4,0,132
0,40.67632,-73.97616,1,7,18,250
0,40.72212,-73.94254,1,5,9,141
0,40.67456,-73.95151,1,20,3,64
0,40.71363,-73.96019,1,3,277,249
0,40.6755,-73.95878,0,2,0,79
1,40.72274,-73.97581,1,2,233,185
0,40.6858,-73.9828,1,3,221,120
0,40.67535,-73.97654,1,1,355,495
1,40.72255,-73.99346,1,3,0,375
1,40.72094,-73.99706,1,3,277,175
1,40.72485,-73.97813,1,4,0,150
1,40.80473,-73.9532,1,8,343,259
1,40.72217,-73.98419,0,1,0,96
0,40.71943,-73.9565,1,7,0,145
1,40.74249,-74.00329,1,4,0,200
1,40.79264,-73.97294,1,5,0,95
0,40.65749,-73.97675,1,4,188,250
1,40.80474,-73.94688,1,2,264,295
1,40.72831,-74.00177,1,3,0,175
0,40.71541,-73.94144,1,2,331,451
1,40.79765,-73.96245,1,2,236,165
1,40.78508,-73.95332,1,4,0,250
4,40.89747,-73.8639,1,1,309,77
1,40.72008,-73.98404,1,4,0,250
2,40.75725,-73.91098,1,1,245,129
0,40.7102,-73.94495,0,2,0,98
0,40.67359,-73.97904,1,2,8,150
1,40.72674,-73.9782,0,7,359,95
1,40.81156,-73.94571,0,3,333,55
1,40.80497,-73.95016,1,2,258,300
2,40.7385,-73.91806,0,40,236,42
0,40.72937,-73.95671,1,2,22,125
1,40.72587,-73.98438,0,3,236,175
1,40.82426,-73.9463,0,3,365,75
0,40.71624,-73.96272,1,45,89,255
0,40.68101,-73.94081,1,31,164,72
0,40.68669,-73.91989,0,1,311,165
0,40.71534,-73.95914,1,5,23,165
0,40.68288,-73.96024,0,3,365,75
0,40.72489,-73.95494,1,5,0,130
0,40.70867,-73.94284,1,2,222,139
0,40.67963,-73.93908,0,1,238,88
0,40.6798,-73.93908,0,1,218,80
1,40.74346,-73.99882,0,2,0,150
1,40.77724,-73.98109,1,3,0,200
1,40.72972,-73.97995,1,2,235,200
2,40.74102,-73.91681,0,40,246,42
0,40.71309,-73.94128,0,6,0,90
1,40.83096,-73.94633,1,3,247,295
0,40.71323,-73.95745,1,5,15,450
0,40.67212,-73.9506,1,2,119,130
0,40.71023,-73.96665,0,3,0,89
1,40.80523,-73.95139,1,5,234,198
1,40.72636,-73.98917,1,2,257,99
0,40.72185,-73.93956,0,4,350,46
1,40.72351,-73.99683,0,2,221,140
0,40.6809,-73.99233,1,7,0,500
1,40.80525,-73.95916,0,5,201,75
2,40.74,-73.91901,0,44,161,33
1,40.80006,-73.96049,1,31,259,250
0,40.70283,-73.92131,0,3,0,60
1,40.84468,-73.94303,0,2,222,75
0,40.68252,-73.99619,1,5,0,350
1,40.74342,-73.99483,1,9,76,205
0,40.67853,-73.98089,1,5,0,219
0,40.6788,-73.97643,0,1,258,60
1,40.77886,-73.98042,1,2,14,185
1,40.72578,-73.97879,1,3,27,190
0,40.66085,-73.98537,1,28,167,105
1,40.80113,-73.94503,1,2,68,250
1,40.78569,-73.97581,1,65,358,175
1,40.82411,-73.94934,0,2,59,65
0,40.68131,-73.95332,1,2,0,75
4,40.85811,-73.90675,0,4,232,37
0,40.70667,-73.96524,1,2,15,85
0,40.60452,-73.97103,1,7,0,106
1,40.7932,-73.94007,1,2,0,79
0,40.68768,-73.97611,0,2,161,85
1,40.80224,-73.94558,0,2,88,170
1,40.71473,-73.98842,0,3,337,115
1,40.80518,-73.95359,0,5,247,89
1,40.80827,-73.95329,2,3,248,49
0,40.72901,-73.95812,0,3,287,91
1,40.73476,-73.98452,1,2,304,400
0,40.69055,-73.92357,1,2,0,150
1,40.7735,-73.98697,1,30,0,2000
0,40.67505,-73.95969,1,3,193,97
1,40.72974,-73.98201,0,4,43,100
0,40.70925,-73.95425,1,4,25,179
0,40.72315,-73.95226,1,2,127,500
1,40.73939,-73.99612,1,10,0,429
1,40.74112,-73.97686,1,6,303,189
1,40.72019,-73.98217,0,2,345,120
1,40.72133,-73.99666,1,1,115,300
2,40.75744,-73.92163,1,30,200,107
2,40.75695,-73.9202,1,30,271,95
1,40.8296,-73.94651,1,2,12,199
1,40.79056,-73.9468,1,2,268,120
1,40.73631,-73.99977,1,15,89,199
4,40.86466,-73.85709,1,2,347,125
0,40.71312,-73.96199,0,2,37,70
0,40.71297,-73.94336,0,4,0,75
1,40.73712,-74.00166,0,30,359,100
0,40.69242,-73.95097,1,2,287,99
1,40.73862,-73.99758,1,1,0,250
0,40.7158,-73.95803,1,6,233,350
0,40.68262,-73.97299,1,3,129,170
1,40.73217,-73.98801,1,1,0,165
1,40.76311,-73.99388,0,1,353,99
1,40.74695,-74.00454,0,4,365,255
0,40.67497,-73.87305,1,3,297,169
0,40.66788,-73.94813,1,4,56,99
1,40.76684,-73.95944,1,7,44,169
0,40.68967,-73.95445,1,3,355,160
0,40.67946,-73.96501,1,3,156,215
0,40.66944,-73.98083,1,3,273,130
1,40.72566,-73.97748,0,3,274,110
1,40.7709,-73.99181,0,28,258,150
0,40.71943,-73.95958,0,30,276,65
2,40.74249,-73.92466,0,2,65,75
1,40.74033,-74.00024,1,6,0,149
1,40.7969,-73.96128,0,6,180,89
1,40.83403,-73.94553,0,1,343,50
0,40.65513,-73.95641,0,1,43,43
0,40.65589,-73.95539,0,1,96,42
0,40.70275,-73.94501,0,1,59,85
0,40.68897,-73.93569,1,3,255,139
0,40.67617,-73.98136,0,1,252,105
0,40.67595,-73.98053,1,5,0,265
1,40.76415,-73.99067,1,1,20,149
1,40.83127,-73.94718,0,2,188,68
0,40.68497,-73.95592,1,3,304,99
1,40.82922,-73.94174,0,3,38,75
0,40.71137,-73.94362,0,2,254,100
1,40.76739,-73.9557,2,1,0,90
1,40.73089,-73.98195,1,30,46,160
0,40.6755,-73.97859,1,4,328,190
0,40.68812,-73.94934,0,4,0,67
1,40.7694,-73.9572,1,1,0,190
0,40.68634,-73.96161,1,2,199,248
0,40.7093,-73.9497,0,6,249,100
1,40.713,-73.99752,0,3,64,95
1,40.75895,-73.9883,0,1,111,150
0,40.68186,-73.94113,1,3,287,145
0,40.68364,-73.91076,0,2,286,41
0,40.71893,-73.9428,1,4,263,120
4,40.82802,-73.92039,0,3,276,50
0,40.68765,-73.97073,1,2,0,157
0,40.71413,-73.96596,1,14,263,195
0,40.58422,-73.94079,1,4,90,70
0,40.71973,-73.95582,1,3,0,185
0,40.69025,-73.93323,1,3,11,145
2,40.73826,-73.92458,0,28,287,50
0,40.73049,-73.96115,1,3,1,185
1,40.72956,-73.97903,1,1,0,250
1,40.73854,-74.00821,0,90,338,80
1,40.75877,-73.98863,1,2,44,230
0,40.67688,-73.9859,1,7,0,100
0,40.70051,-73.92204,0,1,5,40
1,40.71712,-73.98898,0,30,0,200
3,40.60742,-74.14388,0,2,158,80
0,40.68741,-73.95741,0,3,192,79
2,40.75627,-73.9211,1,30,358,95
1,40.79816,-73.9619,1,2,31,300
0,40.61927,-74.0307,1,30,241,100
1,40.8078,-73.95208,0,7,285,80
0,40.61922,-73.99399,1,1,183,110
0,40.68275,-73.96148,1,4,189,172
1,40.71813,-73.98416,1,1,162,199
1,40.71892,-73.98401,1,1,158,199
1,40.816,-73.95545,0,1,84,100
1,40.82748,-73.95153,0,4,260,55
0,40.68634,-73.95088,0,3,0,75
1,40.72229,-73.97901,1,3,166,146
1,40.72956,-73.99287,0,2,0,250
0,40.72595,-73.95298,1,29,335,116
1,40.71193,-74.00817,0,3,90,150
0,40.68012,-73.97847,0,2,342,120
1,40.74233,-73.99865,1,4,28,199
0,40.67424,-73.96665,1,5,363,150
1,40.80486,-73.95298,0,1,86,69
1,40.80307,-73.95048,0,55,83,300
0,40.68653,-73.98562,1,4,0,230
1,40.74267,-73.98569,1,4,0,125
0,40.68749,-73.95494,0,3,264,79
0,40.68645,-73.97538,0,3,305,130
0,40.68999,-73.96711,0,1,356,239
3,40.61077,-74.06824,1,6,278,75
0,40.71126,-73.94576,1,3,135,220
0,40.67855,-73.94949,1,3,308,80
1,40.72416,-73.9853,1,2,229,288
0,40.68516,-73.92521,1,4,273,135
1,40.73507,-74.00048,1,3,83,225
1,40.71611,-73.99828,0,30,281,110
0,40.67964,-73.93946,1,7,321,100
1,40.76189,-73.99,0,2,303,130
1,40.72645,-73.98035,0,1,192,89
0,40.66293,-73.99833,1,5,0,200
0,40.69046,-73.95167,1,2,36,80
4,40.83001,-73.92158,0,5,271,50
1,40.79239,-73.94535,1,28,341,135
1,40.72709,-73.98274,0,1,333,90
1,40.72599,-74.00168,0,5,210,270
0,40.68309,-73.94219,1,3,231,110
1,40.79442,-73.93433,1,1,308,145
1,40.76166,-73.99675,1,30,292,179
2,40.70163,-73.90867,0,1,311,55
1,40.75575,-73.96842,0,2,264,110
1,40.80903,-73.94197,1,5,153,325
2,40.74581,-73.95295,0,30,219,75
0,40.66414,-73.98574,1,1,0,300
1,40.74,-74.00381,0,30,332,130
1,40.75348,-73.97065,1,30,120,190
1,40.72066,-73.98506,1,3,191,200
0,40.71746,-73.95497,1,2,248,180
0,40.70257,-73.9847,1,5,67,350
1,40.72264,-73.9837,1,4,0,160
1,40.73833,-73.98186,1,30,325,195
1,40.73268,-73.99255,1,30,249,241
1,40.71892,-73.99628,1,7,0,300
2,40.77679,-73.91687,1,28,313,75
1,40.71693,-73.98948,1,5,0,100
1,40.73685,-73.98359,1,1,12,399
0,40.68501,-73.97019,0,5,69,85
0,40.66068,-73.96003,1,21,0,80
0,40.67722,-73.96542,0,1,293,55
0,40.68975,-73.96703,0,1,363,438
0,40.69221,-73.95866,1,6,4,110
1,40.72969,-74.00635,1,2,257,200
0,40.6893,-73.96602,0,1,362,279
0,40.70832,-73.94157,1,1,0,137
0,40.68016,-73.94878,1,3,365,280
0,40.70875,-73.95508,1,30,102,199
1,40.85888,-73.92886,0,4,26,71
4,40.8679,-73.90023,0,2,302,42
0,40.6889,-73.95383,1,2,280,180
1,40.75127,-73.99637,1,5,302,226
0,40.67607,-73.94421,0,3,281,85
1,40.73834,-73.9823,1,1,0,135
2,40.7347,-73.88066,1,4,297,79
1,40.71876,-73.98851,1,1,246,154
0,40.73787,-73.95385,1,3,60,199
1,40.73066,-74.00287,1,3,296,700
1,40.73291,-74.00059,1,4,0,246
1,40.85099,-73.92822,0,60,364,125
0,40.68707,-73.91918,0,1,281,100
0,40.7184,-73.96019,1,5,0,295
0,40.67495,-73.95563,0,3,0,150
1,40.71582,-73.99902,1,1,0,119
1,40.81068,-73.94288,0,1,365,125
1,40.81122,-73.94279,1,5,365,400
1,40.73129,-73.99944,1,3,249,850
0,40.71628,-73.95737,0,2,303,129
